id,caso,n,B_restante,G,historia,convencion,opt_laminar,opt_general,laminar_exacto,general_exacto,brecha,ratio_laminar_general,perdida_relativa,primera_laminar,primera_general
individuales,Control: solo individuales,3,2,1,[],posterior_zero,0.6,0.6,3/5,3/5,0.0,1.0,0.0,A,A
par_B2,Ejemplo conocido: dos pruebas,4,2,2,[],posterior_zero,0.774,0.774,387/500,387/500,0.0,1.0,0.0,AB,AB
par_B3,Misma población: tres pruebas,4,3,2,[],posterior_zero,1.074,1.137,537/500,1137/1000,0.063,0.9445910290237467,0.0554089709762533,A,AB
AB1_b1,AB tiene conteo 1; queda una prueba,4,1,2,"[[[0, 1], 1]]",posterior_zero,1.0,1.0,1,1,0.0,1.0,0.0,A,A
AB1_b2,AB tiene conteo 1; quedan dos pruebas,4,2,2,"[[[0, 1], 1]]",posterior_zero,1.3,1.45,13/10,29/20,0.15,0.896551724137931,0.10344827586206895,A,AC
cuatro_triples,Cuatro personas y grupos de tres,4,3,3,[],posterior_zero,1.75,2.0,7/4,2,0.25,0.875,0.125,A,AB
seis_homogeneo,Seis personas homogéneas,6,3,3,[],posterior_zero,1.24938,1.41948,62469/50000,35487/25000,0.1701,0.8801673852396652,0.1198326147603348,ABC,ABC
seis_heterogeneo,Contraejemplo de la batería de cuatro,6,3,4,[],posterior_zero,1.0645140625,1.1104640625,681289/640000,710697/640000,0.04595,0.9586209031415639,0.041379096858436104,AEF,AEF
