region,instances,share_greedy_beats_static,share_greedy_ties_static,share_greedy_loses_static,share_rollout_beats_static,share_rollout_ties_static,share_rollout_loses_static,best_gain_rollout_static,best_instance,best_p,best_n,best_B,best_G,best_rate_mode,best_utility_mode,best_V_rollout,best_V_static,best_ratio_laminar_opt
global,2592,0.1087962962962963,0.5609567901234568,0.33024691358024694,0.283179012345679,0.46334876543209874,0.2534722222222222,1.2433333333333338,2472,0.9,4,3,2,homogeneous,flat,0.373,0.2999999999999999,1.0
utilidades planas,1296,0.08024691358024691,0.6219135802469136,0.2978395061728395,0.26774691358024694,0.5084876543209876,0.22376543209876543,1.2433333333333338,2472,0.9,4,3,2,homogeneous,flat,0.373,0.2999999999999999,1.0
utilidades dispersas,1296,0.13734567901234568,0.5,0.3626543209876543,0.2986111111111111,0.4182098765432099,0.283179012345679,1.1650890620826702,2571,0.9,6,3,2,homogeneous,log_uniform,0.4477402310427536,0.3842969997867714,1.0
tasas homogéneas,1296,0.04552469135802469,0.7191358024691358,0.2353395061728395,0.2700617283950617,0.6049382716049383,0.125,1.2433333333333338,2472,0.9,4,3,2,homogeneous,flat,0.373,0.2999999999999999,1.0
tasas dispersas,1296,0.1720679012345679,0.4027777777777778,0.4251543209876543,0.2962962962962963,0.32175925925925924,0.3819444444444444,1.0914102681102336,1303,0.5,4,2,2,beta_bimodal,flat,1.7414553240138997,1.5956010080693237,1.0
prevalencia alta,1008,0.044642857142857144,0.9156746031746031,0.03968253968253968,0.3759920634920635,0.6061507936507936,0.017857142857142856,1.2433333333333338,2472,0.9,4,3,2,homogeneous,flat,0.373,0.2999999999999999,1.0
prevalencia >= 0.7,720,0.013888888888888888,0.975,0.011111111111111112,0.35833333333333334,0.6388888888888888,0.002777777777777778,1.2433333333333338,2472,0.9,4,3,2,homogeneous,flat,0.373,0.2999999999999999,1.0
prevalencia baja,576,0.13541666666666666,0.2690972222222222,0.5954861111111112,0.140625,0.3680555555555556,0.4913194444444444,1.041975749794856,412,0.15,6,3,2,homogeneous,log_uniform,4.516964875360702,4.335000000000001,0.9745166236855034
