region,iteration,candidate_ratio,incumbent_ratio,accepted,coordinate,p,u,n,B,G,seed_instance
low,15,0.9438853569610721,0.9438853569610721,1,p[1],"[0.26463381369138794, 0.25046278282038487, 0.2, 0.2, 0.2, 0.2]","[0.3045895320760726, 0.634761975338223, 0.5411021075115671, 1.6674962821601178, 1.4150427752476245, 1.437007327666395]",6,3,2,555
middle,0,0.9350297780184084,0.9350297780184084,1,seed,"[0.3, 0.3, 0.3, 0.3]","[1.0, 1.0, 1.0, 1.0]",4,3,3,756
high,22,0.9068898546420789,0.9068898546420789,1,log_u[5],"[0.787148890096605, 0.01, 0.8540192893513814, 0.7861070427694165, 0.9155212574230615, 0.743599856608844]","[1.0074066236459516, 1.0074066236459516, 1.4016304124973893, 1.0074066236459516, 1.0074066236459516, 0.5687430929188048]",6,3,2,2000
