step,pool,pool_members,observed_count,atom_pmf,product_pmf,tv_product,tv_atom_vs_block
2,4231168,"[12, 15, 22]",0,"[0.3431303947672468, 0.49860047302679517, 0.14623947536516577, 0.012029656840792267]","[0.3431303947672468, 0.4986004730267952, 0.14623947536516577, 0.012029656840792267]",2.7755575615628914e-17,4.163336342344337e-17
3,137438969858,"[1, 14, 37]",0,"[0.7074501796046256, 0.26095761146589946, 0.03044913907384614, 0.001143069855628754]","[0.7074501796046256, 0.26095761146589946, 0.030449139073846145, 0.001143069855628754]",1.734723475976807e-18,1.734723475976807e-18
