profile,flat_independence,myopic_milp,laminar_greedy,laminar_rollout,root_count
0,22.59644924457706,14.94115888062749,13.478101778593953,13.478101778593953,0
1,0.0,6.2676766711902445,12.842796684928759,12.842796684928759,2
2,13.73529812623234,22.62423532220875,13.478101778593953,13.478101778593953,0
3,13.322162204329889,0.0,4.521284419065052,4.521284419065052,1
4,7.116850663196368,8.956817359528898,13.478101778593953,13.478101778593953,0
5,8.107643367522776,8.107643367522776,8.321512265863708,8.321512265863708,1
6,7.116850663196368,8.956817359528898,13.478101778593953,13.478101778593953,0
7,13.322162204329889,0.0,4.521284419065052,4.521284419065052,1
8,8.107643367522776,7.848363877214912,8.321512265863708,8.321512265863708,1
9,5.603599098925774,0.0,0.0,0.0,2
10,7.45033040545804,7.092795003412578,4.521284419065052,4.521284419065052,1
11,5.8732319119185314,13.201201418186107,12.842796684928759,12.842796684928759,3
12,13.322162204329889,16.639893801110162,13.478101778593953,13.478101778593953,0
13,22.59644924457706,14.94115888062749,13.478101778593953,13.478101778593953,0
14,13.478101778593953,8.956817359528898,13.478101778593953,13.478101778593953,0
15,7.116850663196368,8.956817359528898,13.478101778593953,13.478101778593953,0
16,0.0,14.879326570288388,8.321512265863708,8.321512265863708,1
17,0.0,6.2676766711902445,0.0,0.0,2
18,0.0,0.0,4.521284419065052,4.521284419065052,1
19,13.73529812623234,16.639893801110162,17.278329625392608,17.278329625392608,0
20,7.116850663196368,14.94115888062749,21.79961404445766,21.79961404445766,0
21,13.73529812623234,14.94115888062749,17.278329625392608,17.278329625392608,0
22,7.116850663196368,14.94115888062749,21.79961404445766,21.79961404445766,0
23,13.73529812623234,7.848363877214912,4.521284419065052,4.521284419065052,1
24,0.0,0.0,0.0,0.0,1
25,13.322162204329889,14.94115888062749,13.478101778593953,13.478101778593953,0
26,15.507384659012384,8.107643367522776,8.321512265863708,8.321512265863708,1
27,7.116850663196368,16.639893801110162,13.478101778593953,13.478101778593953,0
28,7.116850663196368,8.956817359528898,8.956817359528898,8.956817359528898,0
29,13.73529812623234,14.879326570288388,4.521284419065052,4.521284419065052,1
30,7.116850663196368,8.956817359528898,13.478101778593953,13.478101778593953,0
31,0.0,0.0,4.521284419065052,4.521284419065052,2
32,0.0,0.0,0.0,0.0,2
33,13.73529812623234,14.94115888062749,13.478101778593953,13.478101778593953,0
34,7.116850663196368,0.0,4.521284419065052,4.521284419065052,1
35,22.59644924457706,22.62423532220875,13.478101778593953,13.478101778593953,0
36,13.73529812623234,22.62423532220875,13.478101778593953,13.478101778593953,0
37,15.507384659012384,8.107643367522776,12.842796684928759,12.842796684928759,1
38,7.116850663196368,14.94115888062749,13.478101778593953,13.478101778593953,0
39,7.45033040545804,13.667417962679853,12.842796684928759,12.842796684928759,2
40,13.478101778593953,8.956817359528898,13.478101778593953,13.478101778593953,0
41,0.0,6.2676766711902445,4.521284419065052,4.521284419065052,2
42,5.603599098925774,0.0,0.0,0.0,1
43,22.59644924457706,22.62423532220875,13.478101778593953,13.478101778593953,0
44,13.73529812623234,22.62423532220875,21.79961404445766,21.79961404445766,0
45,22.59644924457706,22.62423532220875,21.79961404445766,21.79961404445766,0
46,0.0,6.2676766711902445,0.0,0.0,2
47,13.73529812623234,7.848363877214912,8.321512265863708,8.321512265863708,1
48,22.59644924457706,22.62423532220875,21.79961404445766,21.79961404445766,0
49,22.59644924457706,14.94115888062749,13.478101778593953,13.478101778593953,0
50,0.0,7.399741291489608,4.521284419065052,4.521284419065052,2
51,13.322162204329889,16.639893801110162,13.478101778593953,13.478101778593953,0
52,13.73529812623234,14.94115888062749,21.79961404445766,21.79961404445766,0
53,8.107643367522776,8.107643367522776,0.0,0.0,1
54,6.618447463035972,8.107643367522776,0.0,0.0,1
55,13.478101778593953,8.956817359528898,13.478101778593953,13.478101778593953,0
56,0.0,0.0,0.0,0.0,1
57,13.73529812623234,14.94115888062749,13.478101778593953,13.478101778593953,0
58,15.507384659012384,14.94115888062749,17.278329625392608,17.278329625392608,0
59,13.73529812623234,14.879326570288388,12.842796684928759,12.842796684928759,1
60,0.0,13.667417962679853,4.521284419065052,4.521284419065052,2
61,7.116850663196368,8.956817359528898,8.956817359528898,8.956817359528898,0
62,22.59644924457706,22.62423532220875,21.79961404445766,21.79961404445766,0
63,7.116850663196368,8.956817359528898,8.956817359528898,8.956817359528898,0
64,13.322162204329889,14.94115888062749,13.478101778593953,13.478101778593953,0
