method,n,B,G,S,profiles,mean_utility,standard_error,median_utility,exact_expected_utility,zero_rate,root_pool,root_members,milp_states_solved,flat_states_solved
flat_independence,40,3,3,100,250,11.267127643036336,0.40515712932184644,13.322162204329889,nan,0.124,393220,"[2, 17, 18]",17,16
myopic_milp,40,3,3,100,250,11.460189063664533,0.42467873764434577,11.079009388857504,nan,0.136,393220,"[2, 17, 18]",17,16
laminar_greedy,40,3,3,100,250,10.068746514960905,0.38770880387666495,12.842796684928759,10.289507737336177,0.108,393220,"[2, 17, 18]",17,16
laminar_rollout,40,3,3,100,250,10.068746514960905,0.38770880387666495,12.842796684928759,10.289507737336177,0.108,393220,"[2, 17, 18]",17,16
