case,q_sano,n,G,B,k,convencion,clase,cota_cbs,cbs_stop,cbs_stop_fraction,baseline_singletons,status,optimo,tamanos_optimos,reason
ancla,0.05,48,16,7,3,posterior_zero,pathwise_laminar,0.9147424096656916,0.9394395591948773,206584943785505499715491387634802749249353947366060969049651/219902325555200000000000000000000000000000000000000000000000,0.35000000000000003,state_limit,,,Exact-state limit 2500000 reached; no optimum certified
frontera,0.05,24,8,6,3,posterior_zero,pathwise_laminar,0.7080109756612273,0.7271265787461976,38122373971768640394512549031/52428800000000000000000000000,0.30000000000000004,exact_float64,0.8653939512841864,8,
ancla_acciones_G8,0.05,48,8,7,4,posterior_zero,pathwise_laminar,0.8062885155414988,0.8280575159735428,1111399984472926258407062986933591963271/1342177280000000000000000000000000000000,0.35000000000000003,exact_float64,1.1232827336402267,8,
